id	abbreviation	name
rxn03197	(side-chain-cleaving)	17alpha,20alpha-Dihydroxycholesterol:oxygen oxidoreductase
rxn03198	R04678	16alpha-Hydroxyandrost-4-ene-3,17-dione delta5-delat4-isomerase
rxn03199	16alpha-Hydroxydehydroepiandrosterone:NADP+ 3-oxidoreductase	16alpha-Hydroxyandrost-4-ene-3,17-dione delta5-delat4-isomerase
rxn03200	R04681	Estriol:NAD+ 17-oxidoreductase
rxn03201	R04682	Estriol:NADP+ 17-oxidoreductase
rxn03202	R04683	UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific)
rxn03203	R04686	R04686
rxn03204	R04687	2,5-Diaminohexanoate:NAD+ oxidoreductase (deaminating)
rxn03205	R04688	2,5-Diaminohexanoate:NADP+ oxidoreductase (deaminating)
rxn03206	R04690	(S)-cheilanthifoline, NADPH:oxygen oxidoreductase (methylenedioxy-bridge-forming)
rxn03207	R04691	R04691
rxn03208	R04692	S-adenosyl-L-methionine:(S)-coclaurine-N-methyltransferase
rxn03209	Monophenol,L-dopa:oxygen oxidoreductase	Monophenol,L-dopa:oxygen oxidoreductase
rxn03210	R04694	(S)-N-methylcoclaurine, NADPH:oxygen oxidoreductase (C-O phenol-coupling)
rxn03211	R04695	(R)-reticuline:NADP+ oxidoreductase
rxn03212	R04696	(R)-reticuline, NADPH:oxygen oxidoreductase (C-C phenol-coupling)
rxn03213	R04697	salutaridinol:NADP+ 7-oxidoreductase
rxn03214	R04699	protopine,NADPH:oxygen oxidoreductase (6-hydroxylating)
rxn03215	R04700	(S)-cis-N-methylstylopine,NADPH:oxygen oxidoreductase (14-hydroxylating)
rxn03216	R04701	R04701
rxn03217	R04702	dihydrosanguinarine,NADPH:oxygen oxidoreductase (10-hydroxylating)
rxn03218	R04703	Dihydrosanguinarine:oxygen oxidoreductase
rxn03219	R04705	S-Adenosyl-L-methionine:12-hydroxydihydrochelirubine 12-O-methyltransferase
rxn03220	R04706	Dihydrochelirubine:oxygen oxidoreductase
rxn03221	R04707	S-Adenosyl-L-methionine:10-hydroxydihydrosanguinarine 10-O-methyltransferase
rxn03222	R04708	Dihydrochelirubine,NADPH:oxygen oxidoreductase (12-hydroxylating)
rxn03223	R04709	Malonyl-CoA:3-hydroxybenzoyl-CoA malonyltransferase
rxn03224	R04711	S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxylate O-methyltransferase
rxn03225	rxn03225	rxn03225
rxn03226	R04713	S-Adenosyl-L-methionine:(RS)-1-benzyl-1,2,3,4-tetrahydroisoquinolie N- methyltransferase
rxn03227	R04714	S-Adenosyl-L-methionine:6-O-methylnorlaudanosoline 5'-O-methyltransferase
rxn03228	R04715	S-Adenosyl-L-methionine:(RS)-norcoclaurine 6-O-methyltransferase
rxn03229	R04716	S-Adenosyl-L-methionine:(S)-7,8,13,14-tetrahydroprotoberberine cis-N-methyltransferase
rxn03230	R04720	1-Organyl-2-arachidonyl-sn-glycero-3-phosphocholine:1-organyl-2-lyso-sn-glycero-3-phosphoethanolamine arachidonoyltransferase (CoA-independent)
rxn03231	R04723	Acetyl-CoA:salutaridinol 7-O-acetyltransferase
rxn03232	R04727	N- Acetylarylalkylamine amidohydrolase
rxn03233	R04728	Phaseollidin-hydrate hydro-lyase
rxn03234	R04731	4-aminoimidazole aminohydrolase
rxn03235	R04732	R04732
rxn03236	R04734	4a-hydroxytetrahydrobiopterin hydro-lyase
rxn03237	dihydroxypteridine triphosphate	2-Amino-4-oxo-6-(erythro-1',2',3'-trihydroxypropyl)-7,8-
rxn03238	R04736	L-2-Amino-hexano-6-lactam racemase
rxn03239	R04737	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase
rxn03240	R04738	(S)-3-Hydroxyhexadecanoyl-CoA hydro-lyase
rxn03241	R04740	(S)-3-Hydroxytetradecanoyl-CoA hydro-lyase
rxn03242	R04741	(S)-3-hydroxydodecanoyl-CoA:NAD+ oxidoreductase
rxn03243	R04742	Decanoyl-CoA:acetyl-CoA C-acyltransferase
rxn03244	R04743	(S)-hydroxydecanoyl-CoA:NAD+ oxidoreductase
rxn03245	R04744	(S)-Hydroxydecanoyl-CoA hydro-lyase
rxn03246	R04745	(S)-hydroxyoctanoyl-CoA:NAD+ oxidoreductase
rxn03247	R04746	(S)-Hydroxyoctanoyl-CoA hydro-lyase
rxn03248	R04747	Hexanoyl-CoA:acetyl-CoA C-acyltransferase
rxn03249	R04748	(S)-hydroxyhexanoyl-CoA:NAD+ oxidoreductase
rxn03250	R04749	(S)-Hydroxyhexanoyl-CoA hydro-lyase
rxn03251	R04751	Hexanoyl-CoA:(acceptor) 2,3-oxidoreductase
rxn03252	R04753	trans-Dec-2-enoyl-CoA reductase
rxn03253	R04754	Decanoyl-CoA:(acceptor) 2,3-oxidoreductase
rxn03254	R04756	cis,cis-3,6-Dodecadienoyl-CoA delta3-cis-delta2-trans-isomerase
rxn03255	R_R04757_c	short-chain dehydrogenase/reductase (SDR) family protein
rxn03256	R04758	11beta-Hydroxyandrost-4-ene-3,17-dione:NADP+ 11-oxidoreductase
rxn03257	rxn03257	rxn03257
rxn03258	R04762	S-adenosyl-L-methionine:2-Hydroxyestrone O-methyltransferase
rxn03259	R04763	R04763
rxn03260	R04764	R04764
rxn03261	R04768	dihydromacarpine:oxygen oxidoreductase
rxn03262	rxn03262	rxn03262
rxn03263	R04770	Selenomethionine methanethiol-lyase (deaminating)
rxn03264	R04771	ATP:L-selenomethione S-adenosyltransferase
rxn03265	R04772	S-Adenosyl-L-methionine:L-methionine S-methyltransferase
rxn03266	R04775	R04775
rxn03267	R04776	Phenylacetyl-CoA:L-glutamine alpha-N-phenylacetyltransferase
rxn03268	R04777	R04777
rxn03269	dTDP-6-deoxy-L-mannose:NADP+ 4-oxidoreductase	dTDP-6-deoxy-L-mannose:NADP+ 4-oxidoreductase
rxn03272	R04781	4-Carboxy-4-hydroxy-2-oxoadipate hydro-lyase
rxn03273	R04783	3-Ketolactose galactohydrolase
rxn03274	R04784	R04784
rxn03275	R04785	L-Dehydroascorbate lactonohydrolase
rxn03276	R_R04787_c	R_R04787_c
rxn03277	R04789	R04789
rxn03278	R04792	5,6beta-epoxy-5beta-cholestan-3beta-ol hydrolase
rxn03279	rxn03279	rxn03279
rxn03280	R04795	R04795
rxn03281	R04804	delta8,24-Cholestadien-3beta-ol delta7-delta8-isomerase
rxn03282	R04805	R04805
rxn03283	R04806	5beta-cholestane-3alpha,7alpha-diol,NADPH:oxygen oxidoreductase (26-hydroxylating)
rxn03284	R04807	5beta-Cholestane-3alpha,7alpha,12alpha-triol,NADPH:oxygen oxidoreductase (26-hydroxylating)
rxn03285	R04808	R04808
rxn03286	R04809	3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA hydro-lyase [3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA-forming]
rxn03287	R04810	3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA:NAD+ oxidoreductase
rxn03288	R_R04811_c	acetyl-CoA C-acyltransferase, putative / 3-ketoacyl-CoA thiolase, putative
rxn03289	R04812	3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA:NAD+ oxidoreductase
rxn03290	R04813	(24R,25R)-3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA hydro-lyase
rxn03291	R04817	7alpha-Hydroxy-5beta-cholestan-3-one:NADP+ delta4-oxidoreductase
rxn03292	R04818	3alpha,7alpha-Dihydroxy-5beta-cholestane:NAD+ oxidoreductase (B-specific)
rxn03293	R04819	3alpha,7alpha-Dihydroxy-5beta-cholestane:NADP+ oxidoreductase (B-specific)
rxn03294	R04823	7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one:NADP+ delta4-oxidoreductase
rxn03295	R04824	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane:NAD+ oxidoreductase (B-specific)
rxn03296	R04825	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane:NADP+ oxidoreductase (B-specific)
rxn03297	R04826	7alpha-hydroxycholest-4-en-3-one,NADPH:oxygen oxidoreductase(12alpha-hydroxylating)
rxn03298	Chenodeoxyglycocholoyl-CoA:glycine N-choloyltransferase	Chenodeoxyglycocholoyl-CoA:glycine N-choloyltransferase
rxn03299	R04829	Urocortisone:NAD+ oxidoreductase (B-specific)
rxn03300	R04830	Urocortisone:NADP+ oxidoreductase (B-specific)
rxn03301	R04831	Cortolone:NAD+ oxidoreductase
rxn03302	R04832	Urocortisol:NAD+ oxidoreductase (B-specific)
rxn03303	R04833	Urocortisol:NADP+ oxidoreductase (B-specific)
rxn03304	R04834	Cortol:NAD+ oxidoreductase
rxn03305	R04835	3alpha,11beta,21-Trihydroxy-20-oxo-5beta-pregnan-18-al:NAD+ oxidoreductase (B-specific)
rxn03306	R04836	3alpha,11beta,21-Trihydroxy-20-oxo-5beta-pregnan-18-al:NADP+ oxidoreductase (B-specific)
rxn03307	R04837	Tetrahydrocorticosterone:NAD+ oxidoreductase (B-specific)
rxn03308	R04838	Tetrahydrocorticosterone:NADP+ oxidoreductase (B-specific)
rxn03309	R_R04839_c	short-chain dehydrogenase/reductase (SDR) family protein
rxn03310	R04840	Tetrahydrocorticosterone:NADP+ 11-oxidoreductase
rxn03311	R04842	3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione:NAD+ oxidoreductase (B-specific)
rxn03312	R04843	3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione:NADP+ oxidoreductase (B-specific)
rxn03313	R04844	3alpha,20alpha,21-Trihydroxy-5beta-pregnane-11-one:NAD+ oxidoreductase
rxn03314	R04845	3alpha-Hydroxy-5beta-pregnane-20-one:NAD+ oxidoreductase (B-specific)
rxn03315	R04846	3alpha-Hydroxy-5beta-pregnane-20-one:NADP+ oxidoreductase (B-specific)
rxn03316	R04847	Pregnanediol:NAD+ oxidoreductase
rxn03317	R04849	11-Deoxycortisol delta5-delat4-isomerase
rxn03318	(11-hydroxylating)	17alpha,21-Dihydroxypregnenolone:oxygen oxidoreductase
rxn03319	11-Deoxycortisol delta5-delat4-isomerase	11-Deoxycortisol delta5-delat4-isomerase
rxn03320	R04853	20alpha-Hydroxycholesterol,hydrogen-donor:oxygen oxidoreductase (17-alpha-hydroxylating)
rxn03321	(side-chain-cleaving)	20alpha-Hydroxycholesterol:oxygen oxidoreductase
rxn03322	RXN66-338.c	22-beta-hydroxycholesterol 20-alpha-hydroxylation
rxn03323	R04857	R04857
rxn03324	R04862	(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate:NAD+ oxidoreductase (decarboxylating)
rxn03325	R04868	Acyl-CoA:isopenicillin N N-acyltransferase
rxn03326	R04870	L-2-aminohexanedioate:L-cysteine:L-valine ligase (AMP-forming, valine-inverting)
rxn03327	R04872	R04872
rxn03328	R04874	R04874
rxn03329	R04875	R04875
rxn03330	R04876	R04876
rxn03331	R04877	R04877
rxn03332	rxn03332	rxn03332
rxn03333	R04880	3,4-dihydroxyphenylethyleneglycol:NAD+ oxidoreductase
rxn03334	R04881	S-Adenosyl-L-methionine:catechol O-methyltransferase
rxn03335	R04882	3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase
rxn03336	R04883	3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase
rxn03337	R04884	5,6-dihydroxyindole:oxygen oxidoreductase
rxn03338	R04885	R04885
rxn03339	R04887	S-Adenosyl-L-methionine:catechol O-methyltransferase
rxn03340	R04888	3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase
rxn03341	R04889	3-Methoxy-4-hydroxyphenylacetaldehyde:NADP+ oxidoreductase
rxn03342	R04890	3-Methoxytyramine:oxygen oxidoreductase (deaminating) (copper-containing)
rxn03343	R04891	3-Methoxy-4-hydroxyphenylglycolaldehyde:NAD+ oxidoreductase
rxn03344	R04892	3-Methoxy-4-hydroxyphenylglycolaldehyde:NADP+ oxidoreductase
rxn03345	R04893	L-Normetanephrine:oxygen oxidoreductase (deaminating) (copper-containing)
rxn03346	R04894	L-Metanephrine:oxygen oxidoreductase (deaminating) (flavin-containing)
rxn03347	R04895	R04895
rxn03348	rxn03348	rxn03348
rxn03349	rxn03349	rxn03349
rxn03350	R04899	R04899
rxn03351	R04900	UDP-L-rhamnose:flavonol-3-O-D-glucoside L-rhamnosyltransferase
rxn03352	R04901	(2S)-flavan-4-ol:NADP+ 4-oxidoreductase
rxn03353	R04902	flavanone,NADPH:oxygen oxidoreductase
rxn03354	R04903	5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase
rxn03355	5-Hydroxyindoleacetaldehyde:oxygen oxidoreductase	5-Hydroxyindoleacetaldehyde:oxygen oxidoreductase
rxn03356	R04905	S-Adenosyl-L-methionine:N-acetylserotonin O-methyltransferase
rxn03357	R04906	R04906
rxn03358	R04907	3-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)
rxn03359	R04908	5-Hydroxykynurenamine:oxygen oxidoreductase(deaminating)(flavin-containing)
rxn03360	R04909	5-Hydroxykynurenamine decarboxy-lyase
rxn03361	R04910	R04910
rxn03362	R04911	Aryl-formylamine amidohydrolase
rxn03363	R04914	R04914
rxn03364	R04915	quinoline-3,4-diol 2,4-dioxygenase (carbon monoxide-forming)
rxn03365	R04916	R04916
rxn03366	R04917	R04917
rxn03367	R04918	R04918
rxn03368	R04919	3-hydroxypropionyl-CoA:NADP+ oxidoreductase
rxn03369	R04921	R04921
rxn03370	R04925	R04925
rxn03371	AMP,sulfite:(acceptor) oxidoreductase	AMP,sulfite:(acceptor) oxidoreductase
rxn03372	R04928	ATP:adenylylsulfate 3'-phosphotransferase
rxn03373	R04929	ATP:selenate adenylyltransferase
rxn03374	R04930	Selenocystathionine Lysteine-lyase (deaminating)
rxn03375	R04932	R04932
rxn03376	rxn03376	rxn03376
rxn03377	R04934	R04934
rxn03378	R04936	Se-Adenosylselenohomocysteine hydrolase
rxn03379	R04941	Selenocystathionine L-homocysteine-lyase (deaminating)
rxn03380	R04942	L-Serine hydro-lyase (adding homocysteine)
rxn03381	R04943	R04943
rxn03382	R04945	O-Acetylhomoserine succinate-lyase (adding cysteine)
rxn03383	R04946	O4-succinyl-L-homoserine:L-selenocysteine Se-(3-amino-3-carboxypropyl)transferase
rxn03384	R04972	Uroporphyrinogen I carboxy-lyase
rxn03385	R04975	R04975
rxn03386	rxn03386	rxn03386
rxn03387	Bilirubin beta-diglucuronide glucuronosohydrolase	Bilirubin beta-diglucuronide glucuronosohydrolase
rxn03388	R04980	R04980
rxn03389	R04981	R04981
rxn03390	R04982	R04982
rxn03391	R04983	R04983
rxn03392	R04984	R04984
rxn03393	R04986	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
rxn03394	R04987	R04987
rxn03395	R04988	S-adenosyl-L-methionine:3-(all-trans-octaprenyl)benzene-1,2-diol 2-O-methyltransferase
rxn03396	R04989	R04989
rxn03397	R04990	UDP-L-rhamnose:flavonol-3-O-D-glucoside L-rhamnosyltransferase
rxn03398	SHCHCSYNTH-RXN.c	SHCHCSYNTH-RXN.c
rxn03399	rxn03399	rxn03399
rxn03400	R04996	3-Methylimidazole acetaldehyde:NAD+ oxidoreductase
rxn03401	rxn03401	rxn03401
rxn03402	R04998	beta-D-Glucosyl-2-coumarinate glucohydrolase
rxn03403	R04999	R04999
rxn03404	R05001	R05001
rxn03405	UAGPT1	UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
rxn03406	GLNSP1	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-
rxn03407	R05030	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine:ammonia ligase (ADP-forming)
rxn03408	R05032	UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase
rxn03409	GLNSP3	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-
rxn03410	R05035	S-Adenosyl-L-methionine:kaempferol 3-O-methyltransferase
rxn03411	R05036	leucocyanidin,2-oxoglutarate:oxygen oxidoreductase
rxn03412	R05037	leucocyanidin,2-oxoglutarate:oxygen oxidoreductase
rxn03413	R05038	leucodelphinidin:NADP+ 4-oxidoreductase
rxn03414	R05039	flavanone,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)
rxn03415	R05041	R05041
rxn03416	R05043	R05043
rxn03417	R05044	R05044
rxn03418	R05045	R05045
rxn03419	R05046	formamidopyrimidine nucleoside triphosphate amidohydrolase
rxn03420	rxn03420	rxn03420
rxn03421	R05048	2,5-Diaminopyrimidine nucleoside triphosphate mutase
rxn03422	R05049	N-succinyl-L-glutamate 5-semialdehyde:NAD+ oxidoreductase
rxn03423	R05050	N4-Acetylaminobutanal:NAD+ oxidoreductase
rxn03424	R05051	L-erythro-4-Hydroxyglutamate:NAD+ oxidoreductase
rxn03426	R05053	D-Aspartate:2-oxoglutarate aminotransferase
rxn03427	R05055	R05055
rxn03428	R05056	R05056
rxn03429	R05057	R05057
rxn03430	R05058	R05058
rxn03431	R05062	R05062
rxn03432	R05063	R05063
rxn03433	R05064	(S)-3-Hydroxyisobutyryl-CoA hydrolase
rxn03435	R05068	(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase (isomerizing)
rxn03436	R05069	(S)-2-Aceto-2-hydroxybutanoate:NADP+ oxidoreductase (isomerizing)
rxn03437	R05070	(R)-2,3-Dihydroxy-3-methylpentanoate hydro-lyase
rxn03439	R05074	CMP-3-deoxy-D-manno-oct-2-ulosonate:(KDO)-lipid IVA 3-deoxy-D-manno-oct-2-ulosonate transferase
rxn03440	R05076	R05076
rxn03441	R05077	R05077
rxn03442	R05078	R05078
rxn03443	R05079	R05079
rxn03444	rxn03444	rxn03444
rxn03445	R05085	O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase
rxn03446	R05086	O-Phospho-4-hydroxy-L-threonine phospho-lyase (adding water)
rxn03447	R05087	R05087
rxn03448	rxn03448	rxn03448
rxn03449	R05089	R05089
rxn03450	R05090	R05090
rxn03451	rxn03451	rxn03451
rxn03452	R05092	ent-Copalyl-diphosphate diphosphate-lyase
rxn03453	R05097	(gibberellin-44),2-oxoglutarate:oxygen oxidoreductase
rxn03454	rxn03454	rxn03454
rxn03455	R05099	6-oxohexanoate:NADP oxidoreductase
rxn03456	R05100	cyclohexane-1,2-dione acylhydrolase (decyclizing)
rxn03457	rxn03457	rxn03457
rxn03458	R06516	sphingosine-1-phosphate palmitaldehyde-lyase (phosphoethanolamine-forming)
rxn03459	R05109	(N-Acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase
rxn03460	R05110	R05110
rxn03461	R05111	R05111
rxn03462	R05112	Gal-beta1->3GalNAc-beta1->4Gal-beta1->4Glc-beta1->1'Cer galactohydrolase
rxn03463	R05113	R05113
rxn03464	R05114	R05114
rxn03465	R05115	Acylneuraminyl hydrolase
rxn03466	R05116	R05116
rxn03467	R05117	R05117
rxn03468	R05119	R05119
rxn03469	R05120	R05120
rxn03470	R05121	R05121
rxn03471	R05122	R05122
rxn03472	R05123	S-Adenosyl-L-methionine:(RS)-norcoclaurine 6-O-methyltransferase
rxn03473	R05124	codeine:NADP+ oxidoreductase
rxn03474	R05125	R05125
rxn03475	R05126	thebaine,2-oxoglutarate:oxygen oxidoreductase (6-O-demethylating)
rxn03476	R05127	thebaine,2-oxoglutarate:oxygen oxidoreductase (3-O-demethylating)
rxn03477	R05128	R05128
rxn03478	R05129	R05129
rxn03479	R05130	R05130
rxn03480	R05131	R05131
rxn03481	R05133	Arbutin 6-phosphate glucohydrolase
rxn03482	R05134	Salicin 6-phosphate glucohydrolase
rxn03483	R05135	2',3'-Cyclic GMP 3'-nucleotidohydrolase
rxn03484	R05136	(3E)-4-(2-hydroxyphenyl)-2-oxobut-3-enoate hydro-lyase
rxn03485	R05137	2-hydroxy-2H-chromene-2-carboxylate---(3E)-4-(2-hydroxyphenyl)-2-oxobut-3-enoate isomerase
rxn03486	R05138	R05138
rxn03487	R05141	1,4-beta-D-Glucan glucohydrolase
rxn03488	R05142	1,4-beta-D-Glucan glucohydrolase
rxn03489	R05147	galactitol-1-phosphate:NAD+ oxidoreductase
rxn03490	R05148	benzene-1,4-dicarboxylate, NADH:oxygen oxidoreductase (1,2-hydroxylating)
rxn03491	R05149	S-Adenosyl-L-methionine:1-precorrin-6Y C5,15-methyltransferase (C-12-decarboxylating)
rxn03492	R05150	precorrin-6Y:NADP+ oxidoreductase
rxn03493	R05153	6-Chlorobenzene-1,2,4-triol:oxygen 7S,8S-oxidoreductase
rxn03494	R05154	quinolin-4(1H)-one,NADH:oxygen oxidoreductase (3-oxygenating)
rxn03495	R05155	2-methylquinoline-3,4-diol 2,4-dioxygenase (carbon monoxide-forming)
rxn03496	R05156	2-aminobenzenesulfonate, NADH:oxygen oxidoreductase (2,3-hydroxylating, ammonia-forming)
rxn03497	R05157	quinolin-2-ol, NADH:oxygen oxidoreductase (5,6-hydroxylating)
rxn03498	R05158	Quinolin-2-ol,NADH:oxygen oxidoreductase (8-hydroxylating)
rxn03499	R07372	cholest-5-ene-3beta,27-diol,NADPH:oxygen oxidoreductase (7alpha-hydroxylating)
rxn03500	R05162	S-Adenosyl-L-methionine:(RS)-norcoclaurine 6-O-methyltransferase
rxn03501	R05165	1-Carboxyvinyl carboxyphosphonate phosphorylmutase (decarboxylating)
rxn03502	R05166	lacto-N-tetraose lacto-N-biosylhydrolase
rxn03503	R05167	Phthalyl-amide amidohydrolase
rxn03504	R05168	N-acetyl-D-galactosamine 6-phosphate amidohydrolase
rxn03505	R05169	Methylenediurea aminohydrolase
rxn03506	R05170	Methylenediurea aminohydrolase
rxn03507	R05171	N-(Carboxyaminomethyl)urea aminohydrolase
rxn03508	R05172	N-(Aminomethyl)urea aminohydrolase
rxn03509	R05173	2-Aryl-2-methylmalonate carboxy-lyase
rxn03510	R05174	16-alpha-Hydroxypregnenolone hydro-lyase
rxn03511	R05176	ADP-D-glycero-D-manno-heptose 6-epimerase
rxn03512	R05177	Precorrin 8X 11,12-methylmutase
rxn03513	R05180	S-adenosyl-L-methionine:precorrin-3B C17-methyltransferase
rxn03514	R05181	S-adenosyl-L-methionine:precorrin-4 C11 methyltransferase
rxn03515	enoyl-reducing and thioester-hydrolysing)	acyl-CoA:malonyl-CoA C-acyltransferase(decarboxylating, oxoacyl- and
rxn03517	R05198	ethanol:cytochrome c oxidoreductase
rxn03518	rxn03518	rxn03518
rxn03519	R05202	ATP:1D-myo-inositol 1,3,4,5,6-pentakisphosphate 2-phosphotransferase
rxn03520	rxn03520	rxn03520
rxn03521	rxn03521	rxn03521
rxn03522	rxn03522	rxn03522
rxn03523	R05207	R05207
rxn03524	Mercaptoethanol:cyanide sulfurtransferase	Mercaptoethanol:cyanide sulfurtransferase
rxn03525	R05210	(S)-N-Methylcoclaurine, NADPH:oxygen oxidoreductase (C-O phenol-coupling)
rxn03526	R05211	S-Adenosyl-L-methionine:(RS)-1-benzyl-1,2,3,4-tetrahydroisoquinolie N- methyltransferase
rxn03527	R05212	S-Adenosyl-L-methionine:3'-hydroxy-N-methyl-(S)-coclaurine 4'-O-methyltransferase
rxn03528	R05213	S-Adenosyl-L-methionine:6-O-methylnorlaudanosoline 5'-O-methyltransferase
rxn03529	R05214	S-Adenosyl-L-methionine:(RS)-norcoclaurine 6-O-methyltransferase
rxn03530	R05215	(S)-N-Methylcoclaurine, NADPH:oxygen oxidoreductase (C-O phenol-coupling)
rxn03531	R05216	S-Adenosyl-L-methionine:(RS)-1-benzyl-1,2,3,4-tetrahydroisoquinolie N- methyltransferase
rxn03532	R05217	precorrin-3A,NADH:oxygen oxidoreductase (20-hydroxylating)
rxn03533	cob(II)yrinic acid-a,c-diamide:FMN oxidoreductase	cob(II)yrinic acid-a,c-diamide:FMN oxidoreductase
rxn03534	R05219	R05219
rxn03535	R05220	ATP:cob(I)yrinic acid-a,c-diamide Cobeta-adenosyltransferase
rxn03536	R05221	R05221
rxn03537	R05222	R05222
rxn03538	R05223	R05223
rxn03539	rxn03539	rxn03539
rxn03540	R05225	R05225
rxn03541	R05226	adenosylcobinamide amidohydrolase
rxn03542	hydrogenobyrinic-acid-a,c-diamide:cobalt cobalt-ligase (ADP-forming)	hydrogenobyrinic-acid-a,c-diamide:cobalt cobalt-ligase (ADP-forming)
rxn03543	Penicillin-N,2-oxoglutarate:oxygen oxidoreductase (ring-expanding)	Penicillin-N,2-oxoglutarate:oxygen oxidoreductase (ring-expanding)
rxn03544	R05229	R05229
rxn03545	R05230	R05230
rxn03546	R05231	6-Hydroxyhexanoate:NADP+ oxidoreductase
rxn03547	R05232	p-cumic alcohol:NAD+ oxidoreductase
rxn03548	rxn03548	rxn03548
rxn03549	rxn03549	rxn03549
rxn03550	R05235	p-cumic aldehyde:NAD+ oxidoreductase
rxn03551	R05236	4-Hydroxymuconic-semialdehyde:NAD+ oxidoreductase
rxn03552	R05237	R05237
rxn03553	ADPglucose:sn-glycerol-3-phosphate 2-beta-D-glucosyltransferase	ADPglucose:sn-glycerol-3-phosphate 2-beta-D-glucosyltransferase
rxn03554	R05239	cis-3-phenylcyclohexa-3,5-diene-1,2-diol:NAD+ oxidoreductase
rxn03555	R05240	cis-2,3-dihydroxy-2,3-dihydro-p-cumate:NAD+ oxidoreductase
rxn03556	R05241	cis-2,3-dihydro-2,3-dihydroxy-4'-chlorobiphenyl:NAD+ oxidoreductase
rxn03557	R05243	2,5-dichloro-2,5-cyclohexadiene-1,4-diol:NAD+ oxidoreductase
rxn03558	R05244	NADPH:p-benzoquinone oxidoreductase
rxn03559	R05245	2,3-Dihydroxy-4'-chlorobiphenyl:oxygen 1,2-oxidoreductase (decyclizing)
rxn03560	R05246	R05246
rxn03561	R05247	R05247
rxn03562	R05248	R05248
rxn03563	R05249	Resorcinol,NADPH:oxogen oxidoreductase (2-hydroxylating)
rxn03564	R05250	R05250
rxn03565	R05251	R05251
rxn03566	R05252	R05252
rxn03567	R05395	R05395
rxn03568	R05396	R05396
rxn03569	R05256	R05256
rxn03570	R05257	R05257
rxn03571	R05258	R05258
rxn03572	R_R05259_c	cytochrome P450, CYP711 clan  [SP:A8ITR3_CHLRE]
rxn03573	R05261	biphenyl,NADH:oxygen oxidoreductase (2,3-hydroxylating)
rxn03574	R05262	R05262
rxn03575	R05263	biphenyl,NADH2:oxygen oxidoreductase (2,3-hydroxylating)
rxn03576	R05264	biphenyl,NADH:oxygen oxidoreductase (2,3-hydroxylating)
rxn03577	R05265	R05265
rxn03578	R05266	R05266
rxn03579	rxn03579	rxn03579
rxn03580	R05268	R05268
rxn03581	R05269	R05269
rxn03582	R05270	R05270
rxn03583	R05271	4-(hydroxymethyl)benzenesulfonate:NAD+ oxidoreductase
rxn03584	R05272	4-formylbenzenesulfonate:NAD+ oxidoreductase
rxn03585	R05273	4-Hydroxy-3-methoxybenzoate:oxygen oxidoreductase
rxn03586	R05274	vanillate:oxygen oxidoreductase (demethylating)
rxn03587	R05275	cis-4,5-dihydroxycyclohexa-1(6),2-diene-1,2-dicarboxylate:NAD+ oxidoreductase
rxn03588	R05276	4-chlorobenzoyl-CoA:NADP+ oxidoreductase (halogenating)
rxn03589	R05277	R05277
rxn03590	R05278	R05278
rxn03591	R05279	R05279
rxn03592	R05280	R05280
rxn03593	R05281	R05281
rxn03594	R05282	4-Methylbenzyl alcohol:NAD+ oxidoreductase
